order_id,date,item,size,category,price,payment,store
O-5001,2026-03-07,Cappuccino,S,Espresso Drink,3.75,Cash,Downtown
O-5002,2026-03-07,Mocha,S,Espresso Drink,4.50,Card,Airport
O-5003,2026-03-05,Cappuccino,L,Espresso Drink,5.25,Card,Downtown
O-5004,2026-03-03,Cappuccino,S,Espresso Drink,3.75,App,Airport
O-5005,2026-03-03,Latte,L,Espresso Drink,5.50,App,Airport
O-5006,2026-03-03,Croissant,,Food,3.25,Cash,Airport
O-5007,2026-03-08,Cold Brew,S,Cold,3.95,Card,Airport
O-5008,2026-03-04,Croissant,,Food,3.25,Cash,Downtown
O-5009,2026-03-02,Mocha,M,Espresso Drink,5.25,Card,Uptown
O-5010,2026-03-08,Cappuccino,M,Espresso Drink,4.50,Cash,Airport
O-5011,2026-03-07,Cold Brew,S,Cold,3.95,Cash,Airport
O-5012,2026-03-02,Cappuccino,M,Espresso Drink,4.50,App,Uptown
O-5013,2026-03-03,Drip,L,Brewed,3.45,App,Downtown
O-5014,2026-03-03,Latte,L,Espresso Drink,5.50,Cash,Downtown
O-5015,2026-03-05,Mocha,S,Espresso Drink,4.50,Cash,Uptown
O-5016,2026-03-04,Drip,S,Brewed,2.50,Cash,Downtown
O-5017,2026-03-07,Cold Brew,L,Cold,5.35,App,Downtown
O-5018,2026-03-07,Espresso,L,Espresso Drink,3.75,Card,Downtown
O-5019,2026-03-05,Muffin,,Food,2.95,Cash,Airport
O-5020,2026-03-04,Mocha,L,Espresso Drink,5.95,Card,Downtown
O-5021,2026-03-05,Latte,M,Espresso Drink,4.75,Cash,Downtown
O-5022,2026-03-07,Mocha,L,Espresso Drink,5.95,Cash,Downtown
O-5023,2026-03-05,Muffin,,Food,2.95,App,Uptown
O-5024,2026-03-03,Espresso,M,Espresso Drink,3.25,Card,Airport
O-5025,2026-03-06,Cold Brew,L,Cold,5.35,Cash,Airport
O-5026,2026-03-04,Croissant,,Food,3.25,Card,Downtown
O-5027,2026-03-02,Muffin,,Food,2.95,Card,Downtown
O-5028,2026-03-03,Espresso,L,Espresso Drink,3.75,App,Uptown
O-5029,2026-03-05,Cappuccino,M,Espresso Drink,4.50,App,Uptown
O-5030,2026-03-08,Cold Brew,L,Cold,5.35,Card,Airport
O-5031,2026-03-06,Cappuccino,L,Espresso Drink,5.25,Cash,Airport
O-5032,2026-03-04,Drip,S,Brewed,2.50,Cash,Downtown
O-5033,2026-03-02,Muffin,,Food,2.95,App,Airport
O-5034,2026-03-08,Cold Brew,L,Cold,5.35,Card,Airport
O-5035,2026-03-04,Cappuccino,L,Espresso Drink,5.25,App,Airport
O-5036,2026-03-04,Mocha,S,Espresso Drink,4.50,Card,Airport
